"SIRUTA";"DENLOC";"CODP";"JUD";"SIRSUP";"TIP";"NIV";"MED";"REGIUNE";"FSJ";"FS2";"FS3";"FSL";"rang";"fictiv"
10,00;"JUDEÞUL ALBA";0,00;1;1,00;40;1;"0";7;1;"     ";"       ";"0100000000000";;
1017,00;"MUNICIPIUL ALBA IULIA";0,00;1;10,00;1;2;"1";7;1;"01";"       ";"0111673000000";"II";
1026,00;"ALBA IULIA";0,00;1;1017,00;9;3;"1";7;1;"0111673";"1000084";"0111673100085";"II";
1035,00;"BARABANÞ";510001,00;1;1017,00;10;3;"1";7;1;"0111673";"2000732";"0111673500731";"V";
1044,00;"MICEªTI";510002,00;1;1017,00;10;3;"1";7;1;"0111673";"2007411";"0111673507383";"V";
1053,00;"OARDA";510003,00;1;1017,00;10;3;"1";7;1;"0111673";"2008111";"0111673508122";"V";
1062,00;"PÎCLIªA";510004,00;1;1017,00;10;3;"1";7;1;"0111673";"2008620";"0111673508905";"V";
1213,00;"MUNICIPIUL AIUD";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121672000000";"II";
1222,00;"AIUD";515200,00;1;1213,00;9;3;"1";7;1;"0121672";"1000079";"0121672100080";"II";
1231,00;"AIUDUL DE SUS";515201,00;1;1213,00;10;3;"1";7;1;"0121672";"2000080";"0121672500081";"V";
1277,00;"CIUMBRUD";515202,00;1;1213,00;11;3;"1";7;1;"0121672";"3002907";"0121672502820";"V";
1240,00;"GÎMBAª";515203,00;1;1213,00;10;3;"1";7;1;"0121672";"2005072";"0121672505279";"V";
1286,00;"GÎRBOVA DE JOS";515204,00;1;1213,00;11;3;"1";7;1;"0121672";"3005083";"0121672505290";"V";
1295,00;"GÎRBOVA DE SUS";515205,00;1;1213,00;11;3;"1";7;1;"0121672";"3005084";"0121672505291";"V";
1302,00;"GÎRBOVIÞA";515206,00;1;1213,00;11;3;"1";7;1;"0121672";"3005090";"0121672505296";"V";
1259,00;"MAGINA";515207,00;1;1213,00;10;3;"1";7;1;"0121672";"2007086";"0121672507095";"V";
1268,00;"PAGIDA";515208,00;1;1213,00;10;3;"1";7;1;"0121672";"2008525";"0121672508537";"V";
1311,00;"SÎNCRAI";515209,00;1;1213,00;11;3;"1";7;1;"0121672";"3010574";"0121672510895";"V";
1320,00;"ÞIFRA";515210,00;1;1213,00;11;3;"1";7;1;"0121672";"3012378";"0121672512389";"V";
1348,00;"MUNICIPIUL BLAJ";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121682000000";"II";
1357,00;"BLAJ";515400,00;1;1348,00;9;3;"1";7;1;"0121682";"1001132";"0121682101132";"II";
1366,00;"DELENI-OBÎRªIE";515401,00;1;1348,00;10;3;"1";7;1;"0121682";"2004011";"0121682503981";"V";
1375,00;"FLITEªTI";515402,00;1;1348,00;10;3;"1";7;1;"0121682";"2004777";"0121682504782";"V";
1384,00;"IZVOARELE";515403,00;1;1348,00;10;3;"1";7;1;"0121682";"2006269";"0121682506272";"V";
1428,00;"MANARADE";515404,00;1;1348,00;11;3;"1";7;1;"0121682";"3007159";"0121682507168";"V";
1393,00;"PETRISAT";515405,00;1;1348,00;10;3;"1";7;1;"0121682";"2008796";"0121682508760";"V";
1437,00;"SPATAC";515406,00;1;1348,00;11;3;"1";7;1;"0121682";"3011132";"0121682511149";"V";
1400,00;"TIUR";515407,00;1;1348,00;10;3;"1";7;1;"0121682";"2012073";"0121682512042";"V";
1419,00;"VEZA";515408,00;1;1348,00;10;3;"1";7;1;"0121682";"2013318";"0121682513254";"V";
1874,00;"MUNICIPIUL SEBEª";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121745000000";"II";
1883,00;"SEBEª";515800,00;1;1874,00;9;3;"1";7;1;"0121745";"1010791";"0121745110698";"II";
1892,00;"LANCRAM";515801,00;1;1874,00;10;3;"1";7;1;"0121745";"2006446";"0121745506454";"V";
1909,00;"PETREªTI";515850,00;1;1874,00;10;3;"1";7;1;"0121745";"2008771";"0121745508733";"V";
1918,00;"RAHAU";515802,00;1;1874,00;11;3;"1";7;1;"0121745";"3009789";"0121745509803";"V";
1151,00;"ORAª ABRUD";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131870000000";"III";
1160,00;"ABRUD";515100,00;1;1151,00;17;3;"1";7;1;"0131870";"1000009";"0131870200010";"III";
1179,00;"ABRUD-SAT";515101,00;1;1151,00;18;3;"1";7;1;"0131870";"2000011";"0131870600011";"V";
1188,00;"GURA CORNEI";515102,00;1;1151,00;18;3;"1";7;1;"0131870";"2005598";"0131870605605";"V";
1197,00;"SOHARU";515103,00;1;1151,00;18;3;"1";7;1;"0131870";"2011089";"0131870611106";"V";
2915,00;"ORAª BAIA DE ARIEª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131881000000";"III";
2924,00;"BAIA DE ARIEª";515300,00;1;2915,00;17;3;"1";7;1;"0131881";"1000421";"0131881200422";"III";
2933,00;"BRAZEªTI";515301,00;1;2915,00;19;3;"1";7;1;"0131881";"3001610";"0131881601611";"V";
2942,00;"CIOARA DE SUS";515302,00;1;2915,00;19;3;"1";7;1;"0131881";"3002756";"0131881602670";"V";
2951,00;"MUNCELU";515303,00;1;2915,00;19;3;"1";7;1;"0131881";"3007793";"0131881607801";"V";
2960,00;"SARTAª";515304,00;1;2915,00;19;3;"1";7;1;"0131881";"3010286";"0131881610300";"V";
2979,00;"SIMULEªTI";515305,00;1;2915,00;19;3;"1";7;1;"0131881";"3010941";"0131881610850";"V";
1455,00;"ORAª CÎMPENI";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131924000000";"III";
1464,00;"CÎMPENI";515500,00;1;1455,00;17;3;"1";7;1;"0131924";"1002334";"0131924202877";"III";
1473,00;"BONCEªTI";515501,00;1;1455,00;18;3;"1";7;1;"0131924";"2001344";"0131924601345";"V";
1482,00;"BORLEªTI";515502,00;1;1455,00;18;3;"1";7;1;"0131924";"2001378";"0131924601379";"V";
1491,00;"BOTEªTI";515503,00;1;1455,00;18;3;"1";7;1;"0131924";"2001439";"0131924601440";"V";
1507,00;"CERTEGE";515504,00;1;1455,00;18;3;"1";7;1;"0131924";"2002526";"0131924602439";"V";
1516,00;"COASTA VÎSCULUI";515505,00;1;1455,00;18;3;"1";7;1;"0131924";"2002996";"0131924602998";"V";
1525,00;"DANDUÞ";515506,00;1;1455,00;18;3;"1";7;1;"0131924";"2003837";"0131924603842";"V";
1534,00;"DEALU BISTRII";515507,00;1;1455,00;18;3;"1";7;1;"0131924";"2003911";"0131924603881";"V";
1543,00;"DEALU CAPSEI";515508,00;1;1455,00;18;3;"1";7;1;"0131924";"2003914";"0131924603884";"V";
1552,00;"DRIC";515509,00;1;1455,00;18;3;"1";7;1;"0131924";"2004338";"0131924604342";"V";
1561,00;"FAÞA ABRUDULUI";515510,00;1;1455,00;18;3;"1";7;1;"0131924";"2004535";"0131924604540";"V";
1570,00;"FLOREªTI";515511,00;1;1455,00;18;3;"1";7;1;"0131924";"2004796";"0131924604796";"V";
1589,00;"FURDUIEªTI";515512,00;1;1455,00;18;3;"1";7;1;"0131924";"2004944";"0131924604950";"V";
1598,00;"MIHOEªTI";515513,00;1;1455,00;18;3;"1";7;1;"0131924";"2007489";"0131924607460";"V";
1605,00;"MOTORAªTI";515514,00;1;1455,00;18;3;"1";7;1;"0131924";"2007738";"0131924607747";"V";
1614,00;"PESTE VALEA BISTRII";515515,00;1;1455,00;18;3;"1";7;1;"0131924";"2008722";"0131924608686";"V";
1623,00;"PODURI";515516,00;1;1455,00;18;3;"1";7;1;"0131924";"2009131";"0131924609141";"V";
1632,00;"SORLIÞA";515517,00;1;1455,00;18;3;"1";7;1;"0131924";"2011125";"0131924611142";"V";
1641,00;"TOMUªEªTI";515518,00;1;1455,00;18;3;"1";7;1;"0131924";"2012124";"0131924612141";"V";
1650,00;"VALEA BISTRII";515519,00;1;1455,00;18;3;"1";7;1;"0131924";"2012671";"0131924612686";"V";
1669,00;"VALEA CASELOR";515520,00;1;1455,00;18;3;"1";7;1;"0131924";"2012694";"0131924612707";"V";
1678,00;"VÎRªI";515521,00;1;1455,00;18;3;"1";7;1;"0131924";"2013252";"0131924613446";"V";
1696,00;"ORAª CUGIR";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131932000000";"III";
1703,00;"CUGIR";515600,00;1;1696,00;17;3;"1";7;1;"0131932";"1003682";"0131932203685";"III";
1712,00;"BOCªITURA";515601,00;1;1696,00;18;3;"1";7;1;"0131932";"2001210";"0131932601211";"V";
1721,00;"BUCURU";515602,00;1;1696,00;18;3;"1";7;1;"0131932";"2001766";"0131932601767";"V";
1730,00;"CALENE";515603,00;1;1696,00;18;3;"1";7;1;"0131932";"2002147";"0131932602148";"V";
1749,00;"FEÞENI";515604,00;1;1696,00;18;3;"1";7;1;"0131932";"2004710";"0131932604665";"V";
1758,00;"GOAªELE";515605,00;1;1696,00;18;3;"1";7;1;"0131932";"2005361";"0131932605368";"V";
1767,00;"MUGEªTI";515606,00;1;1696,00;18;3;"1";7;1;"0131932";"2007784";"0131932607793";"V";
1776,00;"VINEREA";515607,00;1;1696,00;18;3;"1";7;1;"0131932";"2013387";"0131932613322";"V";
1794,00;"ORAª OCNA MUREª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131992000000";"III";
1801,00;"OCNA MUREª";515700,00;1;1794,00;17;3;"1";7;1;"0131992";"1008160";"0131992208171";"III";
1838,00;"CISTEIU DE MUREª";515701,00;1;1794,00;19;3;"1";7;1;"0131992";"3002867";"0131992602781";"V";
1847,00;"MICOªLACA";515702,00;1;1794,00;19;3;"1";7;1;"0131992";"3007422";"0131992607393";"V";
1856,00;"RAZBOIENI-CETATE";515703,00;1;1794,00;19;3;"1";7;1;"0131992";"3009831";"0131992609844";"V";
1810,00;"UIOARA DE JOS";515704,00;1;1794,00;18;3;"1";7;1;"0131992";"2012443";"0131992612459";"V";
1829,00;"UIOARA DE SUS";515705,00;1;1794,00;18;3;"1";7;1;"0131992";"2012444";"0131992612460";"V";
8096,00;"ORAª TEIUª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0132050000000";"III";
8103,00;"TEIUª";515900,00;1;8096,00;17;3;"1";7;1;"0132050";"1011953";"0132050211922";"III";
8112,00;"BELDIU";515901,00;1;8096,00;19;3;"1";7;1;"0132050";"3000938";"0132050600852";"V";
8121,00;"CAPUD";515902,00;1;8096,00;19;3;"1";7;1;"0132050";"3002238";"0132050602239";"V";
8130,00;"COªLARIU NOU";515903,00;1;8096,00;19;3;"1";7;1;"0132050";"3003392";"0132050603395";"V";
8149,00;"PEÞELCA";515904,00;1;8096,00;19;3;"1";7;1;"0132050";"3008812";"0132050608776";"V";
1936,00;"ORAª ZLATNA";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0132078000000";"III";
1945,00;"ZLATNA";516100,00;1;1936,00;17;3;"1";7;1;"0132078";"1013705";"0132078213723";"III";
1954,00;"BOTEªTI";516101,00;1;1936,00;19;3;"1";7;1;"0132078";"3001442";"0132078601438";"V";
1963,00;"BUDENI";516102,00;1;1936,00;19;3;"1";7;1;"0132078";"3001794";"0132078601795";"V";
1972,00;"DEALU ROATEI";516103,00;1;1936,00;19;3;"1";7;1;"0132078";"3003956";"0132078603926";"V";
1981,00;"DOBROT";516104,00;1;1936,00;19;3;"1";7;1;"0132078";"3004141";"0132078604147";"V";
1990,00;"DUMBRAVA";516105,00;1;1936,00;19;3;"1";7;1;"0132078";"3004393";"0132078604404";"V";
2005,00;"FENEª";516106,00;1;1936,00;19;3;"1";7;1;"0132078";"3004688";"0132078604643";"V";
2014,00;"GALAÞI";516107,00;1;1936,00;19;3;"1";7;1;"0132078";"3004957";"0132078604964";"V";
2023,00;"IZVORU AMPOIULUI";516108,00;1;1936,00;19;3;"1";7;1;"0132078";"3006303";"0132078606311";"V";
2032,00;"PATRÎNGENI";516109,00;1;1936,00;19;3;"1";7;1;"0132078";"3008579";"0132078608591";"V";
2041,00;"PIRITA";516111,00;1;1936,00;19;3;"1";7;1;"0132078";"3008899";"0132078608863";"V";
2050,00;"PÎRAU GRUIULUI";516110,00;1;1936,00;19;3;"1";7;1;"0132078";"3008632";"0132078608915";"V";
2069,00;"PODU LUI PAUL";516112,00;1;1936,00;19;3;"1";7;1;"0132078";"3009112";"0132078609124";"V";
2078,00;"RUNC";516113,00;1;1936,00;19;3;"1";7;1;"0132078";"3010160";"0132078610173";"V";
2087,00;"RUªI";516114,00;1;1936,00;19;3;"1";7;1;"0132078";"3010217";"0132078610227";"V";
2096,00;"SUSENI";516115,00;1;1936,00;19;3;"1";7;1;"0132078";"3011447";"0132078611465";"V";
2103,00;"TRÎMPOIELE";516116,00;1;1936,00;19;3;"1";7;1;"0132078";"3012193";"0132078612244";"V";
2112,00;"VALEA MICA";516117,00;1;1936,00;19;3;"1";7;1;"0132078";"3012862";"0132078612877";"V";
2121,00;"VÎLTORI";516118,00;1;1936,00;19;3;"1";7;1;"0132078";"3013217";"0132078613417";"V";
2130,00;"ALBAC";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150024000000";"IV";
2149,00;"ALBAC";517005,00;1;2130,00;22;3;"3";7;1;"0150024";"1000085";"0150024300086";"IV";
2158,00;"BARAªTI";517006,00;1;2130,00;23;3;"3";7;1;"0150024";"3000742";"0150024700740";"V";
2167,00;"BUDAIEªTI";517007,00;1;2130,00;23;3;"3";7;1;"0150024";"3001788";"0150024701789";"V";
2176,00;"CIONEªTI";517008,00;1;2130,00;23;3;"3";7;1;"0150024";"3002813";"0150024702727";"V";
2185,00;"COSTEªTI";517009,00;1;2130,00;23;3;"3";7;1;"0150024";"3003348";"0150024703349";"V";
2194,00;"DEALU LAMAªOI";517011,00;1;2130,00;23;3;"3";7;1;"0150024";"3003932";"0150024703902";"V";
2201,00;"DEVE";517012,00;1;2130,00;23;3;"3";7;1;"0150024";"3004040";"0150024704010";"V";
2210,00;"DUPA PLEªE";517013,00;1;2130,00;23;3;"3";7;1;"0150024";"3004478";"0150024704483";"V";
2229,00;"FAÞA";517014,00;1;2130,00;23;3;"3";7;1;"0150024";"3004534";"0150024704539";"V";
2238,00;"PLEªEªTI";517016,00;1;2130,00;23;3;"3";7;1;"0150024";"3008988";"0150024709000";"V";
2247,00;"POTIONCI";517017,00;1;2130,00;23;3;"3";7;1;"0150024";"3009431";"0150024709440";"V";
2256,00;"ROGOZ";517018,00;1;2130,00;23;3;"3";7;1;"0150024";"3010010";"0150024710022";"V";
2265,00;"ROªEªTI";517019,00;1;2130,00;23;3;"3";7;1;"0150024";"3010061";"0150024710073";"V";
2274,00;"RUSEªTI";517021,00;1;2130,00;23;3;"3";7;1;"0150024";"3010203";"0150024710216";"V";
2283,00;"SOHODOL";517022,00;1;2130,00;23;3;"3";7;1;"0150024";"3011092";"0150024711112";"V";
2292,00;"TAMBOREªTI";517023,00;1;2130,00;23;3;"3";7;1;"0150024";"3011755";"0150024711772";"V";
2309,00;"ALMAªU MARE";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150045000000";"IV";
2318,00;"ALMAªU MARE";517030,00;1;2309,00;22;3;"3";7;1;"0150045";"1000153";"0150045300154";"IV";
2327,00;"ALMAªU DE MIJLOC";517031,00;1;2309,00;23;3;"3";7;1;"0150045";"3000152";"0150045700153";"V";
2336,00;"BRADET";517032,00;1;2309,00;23;3;"3";7;1;"0150045";"3001557";"0150045701560";"V";
2345,00;"CHEILE CIBULUI";517033,00;1;2309,00;23;3;"3";7;1;"0150045";"3002576";"0150045702489";"V";
2354,00;"CIB";517034,00;1;2309,00;23;3;"3";7;1;"0150045";"3002723";"0150045702636";"V";
2363,00;"GLOD";517036,00;1;2309,00;23;3;"3";7;1;"0150045";"3005337";"0150045705343";"V";
2372,00;"NADAªTIA";517038,00;1;2309,00;23;3;"3";7;1;"0150045";"3007871";"0150045707881";"V";
2381,00;"ARIEªENI";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150082000000";"IV";
2390,00;"ARIEªENI";517040,00;1;2381,00;22;3;"3";7;1;"0150082";"1000302";"0150082300303";"IV";
2407,00;"AVRAMEªTI";517041,00;1;2381,00;23;3;"3";7;1;"0150082";"3000380";"0150082700381";"V";
2416,00;"BUBEªTI";517042,00;1;2381,00;23;3;"3";7;1;"0150082";"3001705";"0150082701706";"V";
2425,00;"CASA DE PIATRA";517043,00;1;2381,00;23;3;"3";7;1;"0150082";"3002069";"0150082702070";"V";
2434,00;"COBLEª";517044,00;1;2381,00;23;3;"3";7;1;"0150082";"3003001";"0150082703003";"V";
2443,00;"DEALU BAJULUI";517046,00;1;2381,00;23;3;"3";7;1;"0150082";"3003908";"0150082703878";"V";
2452,00;"FAÞA CRISTESEI";517047,00;1;2381,00;23;3;"3";7;1;"0150082";"3004537";"0150082704542";"V";
2461,00;"FAÞA LAPUªULUI";517048,00;1;2381,00;23;3;"3";7;1;"0150082";"3004538";"0150082704543";"V";
2470,00;"GALBENA";517049,00;1;2381,00;23;3;"3";7;1;"0150082";"3004961";"0150082704967";"V";
2489,00;"HODOBANA";517051,00;1;2381,00;23;3;"3";7;1;"0150082";"3005849";"0150082705857";"V";
2498,00;"IZLAZ";517052,00;1;2381,00;23;3;"3";7;1;"0150082";"3006256";"0150082706265";"V";
2504,00;"PANTEªTI";517053,00;1;2381,00;23;3;"3";7;1;"0150082";"3008555";"0150082708567";"V";
2513,00;"PATRAHAIÞEªTI";517054,00;1;2381,00;23;3;"3";7;1;"0150082";"3008576";"0150082708588";"V";
2522,00;"POIENIÞA";517056,00;1;2381,00;23;3;"3";7;1;"0150082";"3009297";"0150082709304";"V";
2531,00;"RAVICEªTI";517057,00;1;2381,00;23;3;"3";7;1;"0150082";"3009719";"0150082709733";"V";
2540,00;"STURU";517058,00;1;2381,00;23;3;"3";7;1;"0150082";"3011368";"0150082711385";"V";
2559,00;"ªTEI-ARIEªENI";517059,00;1;2381,00;23;3;"3";7;1;"0150082";"3011693";"0150082711710";"V";
2568,00;"VANVUCEªTI";517061,00;1;2381,00;23;3;"3";7;1;"0150082";"3013041";"0150082713056";"V";
2577,00;"AVRAM IANCU";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150098000000";"IV";
2586,00;"AVRAM IANCU";517065,00;1;2577,00;22;3;"3";7;1;"0150098";"1000371";"0150098300378";"IV";
2595,00;"ACHIMEÞEªTI";517066,00;1;2577,00;23;3;"3";7;1;"0150098";"3000017";"0150098700016";"V";
2602,00;"AVRAMEªTI";517067,00;1;2577,00;23;3;"3";7;1;"0150098";"3000379";"0150098700380";"V";
2611,00;"BADAI";517068,00;1;2577,00;23;3;"3";7;1;"0150098";"3000563";"0150098700563";"V";
2620,00;"BOLDEªTI";517069,00;1;2577,00;23;3;"3";7;1;"0150098";"3001327";"0150098701328";"V";
2639,00;"CALUGAREªTI";517071,00;1;2577,00;23;3;"3";7;1;"0150098";"3002199";"0150098702200";"V";
2648,00;"CASOAIA";517072,00;1;2577,00;23;3;"3";7;1;"0150098";"3002279";"0150098702280";"V";
2657,00;"CÎNDEªTI";517073,00;1;2577,00;23;3;"3";7;1;"0150098";"3002366";"0150098702905";"V";
2666,00;"CÎRAªTI";517074,00;1;2577,00;23;3;"3";7;1;"0150098";"3002373";"0150098702910";"V";
2675,00;"CÎRÞULEªTI";517076,00;1;2577,00;23;3;"3";7;1;"0150098";"3002419";"0150098702948";"V";
2684,00;"COCEªTI";517077,00;1;2577,00;23;3;"3";7;1;"0150098";"3003010";"0150098703011";"V";
2693,00;"COCOªEªTI";517078,00;1;2577,00;23;3;"3";7;1;"0150098";"3003033";"0150098703034";"V";
2700,00;"COROIEªTI";517079,00;1;2577,00;23;3;"3";7;1;"0150098";"3003299";"0150098703300";"V";
2719,00;"DEALU CRIªULUI";517081,00;1;2577,00;23;3;"3";7;1;"0150098";"3003918";"0150098703888";"V";
2728,00;"DOLEªTI";517082,00;1;2577,00;23;3;"3";7;1;"0150098";"3004171";"0150098704177";"V";
2737,00;"DUMACEªTI";517083,00;1;2577,00;23;3;"3";7;1;"0150098";"3004383";"0150098704389";"V";
2746,00;"GOJEIEªTI";517084,00;1;2577,00;23;3;"3";7;1;"0150098";"3005389";"0150098705396";"V";
2755,00;"HELEREªTI";517086,00;1;2577,00;23;3;"3";7;1;"0150098";"3005781";"0150098705775";"V";
2764,00;"INCEªTI";517087,00;1;2577,00;23;3;"3";7;1;"0150098";"3006146";"0150098706155";"V";
2773,00;"JOJEI";517088,00;1;2577,00;23;3;"3";7;1;"0150098";"3006393";"0150098706401";"V";
2782,00;"MARTEªTI";517089,00;1;2577,00;23;3;"3";7;1;"0150098";"3007240";"0150098707250";"V";
2791,00;"ORGEªTI";517091,00;1;2577,00;23;3;"3";7;1;"0150098";"3008327";"0150098708339";"V";
2808,00;"PATRUÞEªTI";517092,00;1;2577,00;23;3;"3";7;1;"0150098";"3008583";"0150098708595";"V";
2817,00;"PLAI";517093,00;1;2577,00;23;3;"3";7;1;"0150098";"3008944";"0150098708954";"V";
2826,00;"PUªELEªTI";517094,00;1;2577,00;23;3;"3";7;1;"0150098";"3009628";"0150098709641";"V";
2835,00;"ªOICEªTI";517096,00;1;2577,00;23;3;"3";7;1;"0150098";"3011621";"0150098711637";"V";
2844,00;"ªTERTEªTI";517097,00;1;2577,00;23;3;"3";7;1;"0150098";"3011695";"0150098711712";"V";
2853,00;"TÎRSA";517098,00;1;2577,00;23;3;"3";7;1;"0150098";"3011919";"0150098712083";"V";
2862,00;"TÎRSA-PLAI";517099,00;1;2577,00;23;3;"3";7;1;"0150098";"3011922";"0150098712085";"V";
2871,00;"VALEA MACIULUI";517101,00;1;2577,00;23;3;"3";7;1;"0150098";"3012815";"0150098712830";"V";
2880,00;"VALEA UÞULUI";517102,00;1;2577,00;23;3;"3";7;1;"0150098";"3013011";"0150098713026";"V";
2899,00;"VERDEªTI";517103,00;1;2577,00;23;3;"3";7;1;"0150098";"3013292";"0150098713228";"V";
2906,00;"VIDRIªOARA";517104,00;1;2577,00;23;3;"3";7;1;"0150098";"3013344";"0150098713280";"V";
2988,00;"BERGHIN";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150221000000";"IV";
2997,00;"BERGHIN";517110,00;1;2988,00;22;3;"3";7;1;"0150221";"1001007";"0150221300921";"IV";
3002,00;"GHIRBOM";517111,00;1;2988,00;23;3;"3";7;1;"0150221";"3005246";"0150221705205";"V";
3011,00;"HENIG";517112,00;1;2988,00;23;3;"3";7;1;"0150221";"3005788";"0150221705783";"V";
3020,00;"STRAJA";517113,00;1;2988,00;23;3;"3";7;1;"0150221";"3011302";"0150221711317";"V";
3039,00;"BISTRA";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150252000000";"IV";
3048,00;"BISTRA";517115,00;1;3039,00;22;3;"3";7;1;"0150252";"1001102";"0150252301018";"IV";
3057,00;"ARONEªTI";517116,00;1;3039,00;23;3;"3";7;1;"0150252";"3000323";"0150252700324";"V";
3066,00;"BALEªTI";517117,00;1;3039,00;23;3;"3";7;1;"0150252";"3000668";"0150252700665";"V";
3075,00;"BALEªTI-CATUN";517118,00;1;3039,00;23;3;"3";7;1;"0150252";"3000670";"0150252700669";"V";
3084,00;"BÎRLEªTI";517119,00;1;3039,00;23;3;"3";7;1;"0150252";"3000838";"0150252701077";"V";
3093,00;"CHELETENI";517121,00;1;3039,00;23;3;"3";7;1;"0150252";"3002578";"0150252702491";"V";
3100,00;"CIULDEªTI";517122,00;1;3039,00;23;3;"3";7;1;"0150252";"3002894";"0150252702808";"V";
3119,00;"CREÞEªTI";517123,00;1;3039,00;23;3;"3";7;1;"0150252";"3003549";"0150252703541";"V";
3128,00;"DEALU MUNTELUI";517126,00;1;3039,00;23;3;"3";7;1;"0150252";"3003948";"0150252703918";"V";
3137,00;"DÎMBURENI";517124,00;1;3039,00;23;3;"3";7;1;"0150252";"3003874";"0150252704071";"V";
3146,00;"DURAªTI";517127,00;1;3039,00;23;3;"3";7;1;"0150252";"3004481";"0150252704486";"V";
3155,00;"GANEªTI";517128,00;1;3039,00;23;3;"3";7;1;"0150252";"3005039";"0150252705045";"V";
3164,00;"GÎRDE";517129,00;1;3039,00;23;3;"3";7;1;"0150252";"3005100";"0150252705304";"V";
3173,00;"HODIªEªTI";517131,00;1;3039,00;23;3;"3";7;1;"0150252";"3005846";"0150252705854";"V";
3182,00;"HUDRICEªTI";517132,00;1;3039,00;23;3;"3";7;1;"0150252";"3005947";"0150252705955";"V";
3191,00;"LIPAIA";517133,00;1;3039,00;23;3;"3";7;1;"0150252";"3006644";"0150252706652";"V";
3208,00;"LUNCA LARGA";517134,00;1;3039,00;23;3;"3";7;1;"0150252";"3006836";"0150252706845";"V";
3217,00;"LUNCA MERILOR";517136,00;1;3039,00;23;3;"3";7;1;"0150252";"3006841";"0150252706850";"V";
3226,00;"MIHAIEªTI";517137,00;1;3039,00;23;3;"3";7;1;"0150252";"3007473";"0150252707444";"V";
3235,00;"NAMAª";517138,00;1;3039,00;23;3;"3";7;1;"0150252";"3007879";"0150252707889";"V";
3244,00;"NOVACEªTI";517139,00;1;3039,00;23;3;"3";7;1;"0150252";"3008086";"0150252708096";"V";
3253,00;"PERJEªTI";517141,00;1;3039,00;23;3;"3";7;1;"0150252";"3008712";"0150252708676";"V";
3262,00;"POIANA";517142,00;1;3039,00;23;3;"3";7;1;"0150252";"3009178";"0150252709186";"V";
3271,00;"POIU";517143,00;1;3039,00;23;3;"3";7;1;"0150252";"3009305";"0150252709317";"V";
3280,00;"RATITIª";517144,00;1;3039,00;23;3;"3";7;1;"0150252";"3009818";"0150252709831";"V";
3299,00;"RUNCURI";517146,00;1;3039,00;23;3;"3";7;1;"0150252";"3010180";"0150252710193";"V";
3306,00;"SALAGEªTI";517147,00;1;3039,00;23;3;"3";7;1;"0150252";"3010414";"0150252710427";"V";
3315,00;"ªTEFANCA";517148,00;1;3039,00;23;3;"3";7;1;"0150252";"3011675";"0150252711692";"V";
3324,00;"TOLACEªTI";517149,00;1;3039,00;23;3;"3";7;1;"0150252";"3012102";"0150252712119";"V";
3333,00;"TOMNATEC";517151,00;1;3039,00;23;3;"3";7;1;"0150252";"3012112";"0150252712129";"V";
3342,00;"TRIªOREªTI";517152,00;1;3039,00;23;3;"3";7;1;"0150252";"3012224";"0150252712239";"V";
3351,00;"ÞARANEªTI";517153,00;1;3039,00;23;3;"3";7;1;"0150252";"3012335";"0150252712352";"V";
3360,00;"VÎRªI-RONTU";517154,00;1;3039,00;23;3;"3";7;1;"0150252";"3013253";"0150252713447";"V";
3379,00;"VÎRªII MARI";517156,00;1;3039,00;23;3;"3";7;1;"0150252";"3013254";"0150252713448";"V";
3388,00;"VÎRªII MICI";517157,00;1;3039,00;23;3;"3";7;1;"0150252";"3013255";"0150252713449";"V";
3397,00;"BLANDIANA";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150272000000";"IV";
3404,00;"BLANDIANA";517160,00;1;3397,00;22;3;"3";7;1;"0150272";"1001136";"0150272301137";"IV";
3413,00;"ACMARIU";517161,00;1;3397,00;23;3;"3";7;1;"0150272";"3000021";"0150272700021";"V";
3422,00;"IBRU";517162,00;1;3397,00;23;3;"3";7;1;"0150272";"3006045";"0150272706053";"V";
3431,00;"POIENI";517163,00;1;3397,00;23;3;"3";7;1;"0150272";"3009269";"0150272709283";"V";
3440,00;"RACATAU";517164,00;1;3397,00;23;3;"3";7;1;"0150272";"3009728";"0150272709742";"V";
9026,00;"BUCERDEA GRÂNOASÃ";0,00;1;10,00;3;2;"3";7;1;"01";;"0150398000000";;0
4204,00;"BUCERDEA GRÂNOASA";517261,00;1;9026,00;22;3;"3";7;1;"0150398";"3001709";"0150398301710";"V";
